Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2007,61,M,Fiets,2,116186001,,,,OUDE ZEEDIJK,Reepweg,Binnendijk,Kapelle,Zeeland,W,58425,393387,51.52118083,3.99565998
2007,64,M,Voetganger,3,120126015,,,,Ellestraat,Vlasstraat,Ellendijk,Hulst,Zeeland,W,60558,362874,51.24733292,4.034538949
2007,88,M,Personenauto,1,131238071,,,,AARDDIJKSWAL,Staakweg,Staakweg,Dirksland,Zuid-Holland,K,65880,419244,51.75478005,4.096447351
2007,76,M,Voetganger,3,132188005,,,,Platteweg,Gatweg,Zeedijk,Tholen,Zeeland,W,66379,393929,51.52736073,4.110103351
2007,17,M,Personenauto,1,134202001,,,,Oude Zeedijk,JOANNA MARIAWEG,Joanna Mariapolder,Tholen,Zeeland,W,67609,401100,51.59199776,4.126035643
2007,28,V,Personenauto,1,136232001,,,,Oudelandsedijk,Zuiddijk,Armenweg,Dirksland,Zuid-Holland,W,68239,416176,51.72758007,4.131372481
2007,30,M,Personenauto,1,140262004,,,,Rijksstraatweg,Middelweg,Rijksstraatweg,Hellevoetsluis,Zuid-Holland,W,70462,431423,51.86494102,4.159818383
2007,22,M,Motor,4,140271014,,,,Langesingel,Langesingel,Schrijversdijk,Brielle,Zuid-Holland,K,70288,435567,51.90215511,4.15627391
2007,52,V,Personenauto,1,142258007,,,"5,9",Kanaalweg Westzijde,Kanaalweg Westzijde,Kreekweg,Hellevoetsluis,Zuid-Holland,W,71776,429461,51.84750695,4.179365116
2007,78,M,Fiets,2,143292071,,,,Koningin Julianaweg,Prinses Beatrixstraat,Koningin Wilhelminastr,Westland,Zuid-Holland,W,71561,446460,52.00023818,4.172120665
2007,50,M,Motor,4,145195004,,,,Gankelweg,Oud Vossemeersedijk,Oud Vossemeersedijk,Tholen,Zeeland,K,72882,397963,51.56460138,4.202851942
2007,34,V,Personenauto,1,145236014,,,,JOH. POLDERSEDREEF,Oudelandsedijk,Oudelandsedijk,Middelharnis,Zuid-Holland,K,72636,418459,51.74876187,4.194462084
2007,84,M,Fiets,2,148290085,,,,Anjerlaan,Anjerlaan,Gerberalaan,Westland,Zuid-Holland,K,74174,445330,51.99047004,4.210431323
2007,83,M,Voetganger,3,148291158,,,,Verdilaan,Verdilaan,Verdipark,Westland,Zuid-Holland,K,74250,445631,51.99318608,4.211466678
2007,19,M,Fiets,2,150286034,,,,Hoefweg,Leehove,Leeweg,Westland,Zuid-Holland,K,75292,443223,51.97169678,4.227195268
2007,84,V,Fiets,2,151231002,,,,Lieve Vrouwepoldersedijk,Lieve Vrouwepoldersedijk,Tilsedijk,Middelharnis,Zuid-Holland,K,75832,415987,51.72700782,4.241299128
